adresse,bezirk,art,wkr,gueltig,wber,truth_spd,base_spd,truth_cdu,base_cdu,truth_gruene,base_gruene,truth_linke,base_linke,truth_afd,base_afd,truth_fdp,base_fdp,truth_others,base_others
01B1A,01,B,1,787.0,0.0,13.088,18.252,27.446,17.738,26.811,24.165,6.099,13.625,3.431,6.17,12.198,12.082,10.928,7.969
01B1B,01,B,1,804.0,0.0,16.791,18.776,28.856,18.776,28.731,23.673,6.841,13.878,3.483,6.122,10.199,12.041,5.1,6.735
01B1C,01,B,1,836.0,0.0,12.799,18.696,22.608,18.478,31.579,23.913,8.732,13.913,2.871,6.087,12.081,11.957,9.33,6.957
01B1D,01,B,1,708.0,0.0,15.254,18.304,22.599,18.08,29.379,24.107,13.559,14.286,2.119,6.473,9.463,12.5,7.627,6.25
01B1E,01,B,1,820.0,0.0,18.171,17.764,28.171,17.764,22.439,23.277,7.683,15.008,4.512,7.198,10.488,13.476,8.537,5.513
01B1F,01,B,1,615.0,0.0,13.659,18.282,22.764,17.841,31.87,25.33,14.959,14.317,2.114,6.167,6.829,12.335,7.805,5.727
01B1G,01,B,1,659.0,0.0,21.7,18.261,24.127,18.087,24.127,26.261,10.47,13.913,6.07,5.739,5.918,11.478,7.587,6.261
01B1H,01,B,1,720.0,0.0,12.639,17.931,20.0,17.471,35.278,26.897,14.167,14.023,1.806,5.747,7.639,11.954,8.472,5.977
01B1I,01,B,1,829.0,0.0,13.631,17.472,18.215,16.729,37.998,27.881,13.631,13.941,2.171,5.762,7.117,12.268,7.238,5.948
01B1J,01,B,1,403.0,0.0,14.392,17.98,20.844,17.241,25.31,26.601,15.136,13.793,4.963,5.911,9.429,12.315,9.926,6.158
01B1K,01,B,1,715.0,0.0,11.469,18.75,16.503,17.137,42.098,26.815,11.748,13.306,2.517,5.847,6.573,12.298,9.091,5.847
01B1L,01,B,1,584.0,0.0,15.24,18.818,16.438,17.287,37.842,26.477,12.158,13.567,2.226,5.908,6.336,12.254,9.76,5.689
01B1M,01,B,1,587.0,0.0,13.969,18.852,22.658,17.213,33.39,26.639,10.051,13.525,1.193,5.738,11.073,12.5,7.666,5.533
01B2A,01,B,2,592.0,0.0,16.385,17.255,36.824,16.471,14.527,11.765,13.345,25.49,4.561,11.373,8.277,9.216,6.081,8.431
01B2B,01,B,2,873.0,0.0,15.464,16.981,32.188,17.453,15.006,11.321,15.464,25.314,7.446,11.635,8.018,9.906,6.415,7.39
01B2C,01,B,2,840.0,0.0,18.333,18.162,27.262,15.598,16.548,13.248,15.833,26.282,5.0,10.897,9.881,8.761,7.143,7.051
01B2D,01,B,2,689.0,0.0,20.9,19.211,24.819,14.237,14.078,14.751,22.496,26.587,7.257,9.949,4.064,7.89,6.386,7.376
01B2E,01,B,2,593.0,0.0,14.165,18.898,15.683,14.37,35.75,14.764,13.997,26.772,3.541,10.039,8.263,7.874,8.6,7.283
01B2F,01,B,2,500.0,0.0,12.4,17.828,16.6,14.139,34.0,14.959,16.8,26.434,3.2,10.451,8.4,8.607,8.6,7.582
01B2G,01,B,2,598.0,0.0,16.221,17.897,22.91,14.022,25.251,15.314,16.054,26.384,6.02,10.332,8.027,8.487,5.518,7.565
01B2H,01,B,2,515.0,0.0,22.718,18.025,26.796,14.568,9.126,13.58,27.767,27.654,4.466,11.111,2.136,7.407,6.99,7.654
01B2I,01,B,2,633.0,0.0,19.747,18.116,28.752,14.058,9.637,10.435,21.485,31.884,8.689,12.754,3.16,5.507,8.531,7.246
01B2J,01,B,2,519.0,0.0,14.066,18.085,21.387,14.628,17.919,13.564,23.892,27.394,7.514,10.904,5.202,7.447,10.019,7.979
01B2K,01,B,2,643.0,0.0,15.552,17.06,25.972,14.882,20.529,13.612,15.397,28.494,4.51,11.071,11.975,7.623,6.065,7.26
01B2L,01,B,2,968.0,0.0,16.736,18.31,23.864,15.023,24.38,14.554,15.083,27.23,5.269,10.563,6.715,7.746,7.955,6.573
01B2M,01,B,2,846.0,0.0,21.277,18.259,27.069,14.862,12.057,14.437,20.922,27.601,6.856,10.616,3.073,7.856,8.747,6.369
01B2N,01,B,2,827.0,0.0,12.455,19.414,21.403,14.652,34.462,15.751,14.148,26.007,3.144,10.073,5.441,7.692,8.948,6.41
01B3A,01,B,3,492.0,0.0,14.837,20.211,17.073,15.789,33.74,25.895,18.293,11.789,2.236,7.158,4.065,9.263,9.756,9.895
01B3B,01,B,3,560.0,0.0,16.071,20.29,17.857,16.356,33.929,25.259,14.643,11.801,2.5,7.453,5.714,9.317,9.286,9.524
01B3C,01,B,3,743.0,0.0,20.458,20.197,25.437,16.749,30.013,25.616,7.806,11.823,2.557,7.635,6.191,9.36,7.537,8.621
01B3D,01,B,3,809.0,0.0,19.901,20.819,16.44,16.192,35.6,27.046,12.485,12.1,2.101,7.473,4.079,9.609,9.394,6.762
01B3E,01,B,3,723.0,0.0,19.087,20.71,17.289,16.371,34.993,26.627,11.342,11.834,2.075,7.495,5.118,9.665,10.097,7.298
01B3F,01,B,3,818.0,0.0,20.049,20.513,22.616,18.1,31.418,25.49,8.924,12.066,3.056,8.748,6.479,8.899,7.457,6.184
01B3G,01,B,3,417.0,0.0,19.424,20.477,17.506,18.091,29.496,25.447,13.189,11.928,4.556,8.35,6.475,9.145,9.353,6.561
01B3H,01,B,3,555.0,0.0,21.081,20.665,32.252,19.24,17.117,23.753,9.369,11.401,5.045,8.551,6.847,10.214,8.288,6.176
01B3I,01,B,3,906.0,0.0,18.764,20.566,26.6,19.374,27.483,23.845,9.713,11.326,3.863,8.495,6.071,10.581,7.506,5.812
01B3J,01,B,3,675.0,0.0,16.889,20.497,33.926,20.29,21.63,22.36,6.667,11.18,5.926,9.11,9.926,10.352,5.037,6.211
01B3K,01,B,3,787.0,0.0,11.182,20.426,24.905,18.298,28.335,24.681,9.657,11.915,4.574,8.298,12.961,10.0,8.386,6.383
01B3L,01,B,3,542.0,0.0,18.819,20.339,23.985,16.761,27.306,26.365,10.701,12.429,2.952,7.345,8.672,9.793,7.565,6.968
01B4A,01,B,4,419.0,0.0,12.888,20.253,11.456,11.646,38.902,27.595,14.081,14.684,4.535,7.342,4.057,6.582,14.081,11.899
01B4B,01,B,4,393.0,0.0,14.249,20.213,10.178,11.702,40.712,27.66,16.539,14.628,2.799,7.181,5.344,6.383,10.178,12.234
01B4C,01,B,4,592.0,0.0,13.682,20.613,17.23,11.699,35.304,28.134,15.878,14.763,2.703,7.242,4.223,6.128,10.98,11.421
01B4D,01,B,4,450.0,0.0,11.111,20.716,16.444,11.765,45.556,28.645,12.0,15.09,2.444,6.905,3.778,6.394,8.667,10.486
01B4E,01,B,4,569.0,0.0,14.06,20.925,14.411,11.922,44.288,28.954,13.708,15.328,1.582,6.569,3.163,6.326,8.787,9.976
01B4F,01,B,4,645.0,0.0,15.349,21.134,15.504,11.856,37.674,29.639,13.798,14.948,4.186,6.443,4.961,6.186,8.527,9.794
01B4G,01,B,4,429.0,0.0,11.189,20.938,14.219,11.875,40.559,28.438,15.152,15.313,1.632,6.875,3.963,5.938,13.287,10.625
01B4H,01,B,4,456.0,0.0,15.132,21.131,15.132,11.905,37.719,28.571,16.228,15.476,3.509,6.845,5.482,6.25,6.798,9.821
01B4I,01,B,4,464.0,0.0,13.147,21.256,17.457,12.077,39.224,29.469,13.147,14.734,1.94,6.763,4.31,6.039,10.776,9.662
01B4J,01,B,4,431.0,0.0,17.401,21.384,19.258,11.95,30.858,28.302,11.369,15.409,6.729,6.918,5.336,6.289,9.049,9.748
01B4K,01,B,4,353.0,0.0,13.598,21.271,14.448,12.155,38.527,27.901,13.314,15.193,5.949,7.182,4.816,6.354,9.348,9.945
01B4L,01,B,4,718.0,0.0,14.624,21.677,16.435,11.247,33.426,28.221,18.106,15.951,3.621,7.771,3.482,5.93,10.306,9.202
01B4M,01,B,4,674.0,0.0,12.463,21.578,12.315,11.369,39.763,28.306,19.288,15.777,3.116,7.657,3.412,5.8,9.644,9.513
01B5A,01,B,5,533.0,0.0,20.638,25.432,34.334,20.0,15.572,15.556,7.129,10.37,9.756,11.358,3.752,6.173,8.818,11.111
01B5B,01,B,5,499.0,0.0,22.645,25.843,30.661,20.449,18.437,15.056,8.216,10.112,7.415,11.461,4.208,6.067,8.417,11.011
01B5C,01,B,5,613.0,0.0,20.718,25.0,38.173,19.643,16.476,16.667,7.667,10.417,5.22,11.31,3.1,5.952,8.646,11.012
01B5D,01,B,5,548.0,0.0,25.365,24.874,31.204,20.101,14.964,16.583,8.577,10.05,7.117,11.809,2.19,5.779,10.584,10.804
01B5E,01,B,5,466.0,0.0,16.738,24.375,31.545,18.125,18.67,18.438,13.305,11.25,6.867,10.625,3.004,5.625,9.871,11.562
01B5F,01,B,5,600.0,0.0,17.167,24.458,19.667,18.266,29.0,18.576,15.5,11.146,3.333,10.836,3.167,5.882,12.167,10.836
01B5G,01,B,5,395.0,0.0,21.772,24.194,24.557,17.419,18.734,19.032,11.899,11.935,10.127,10.645,2.278,5.806,10.633,10.968
01B5H,01,B,5,477.0,0.0,16.771,23.67,19.078,16.755,30.818,19.149,16.562,12.234,6.289,10.638,2.096,6.383,8.386,11.17
01B5I,01,B,5,467.0,0.0,20.771,23.72,22.27,16.442,23.34,19.137,14.347,12.399,6.852,10.782,2.141,6.469,10.278,11.051
01B5J,01,B,5,539.0,0.0,11.688,24.675,9.647,16.883,41.744,20.0,20.594,12.468,4.082,10.13,2.041,5.714,10.204,10.13
01B5K,01,B,5,691.0,0.0,18.09,24.384,31.259,17.534,23.589,21.096,10.275,12.603,5.355,10.685,4.197,5.479,7.236,8.219
01B5L,01,B,5,676.0,0.0,16.272,23.154,9.763,16.966,38.609,22.156,18.787,12.974,3.55,10.579,2.515,5.589,10.503,8.583
01B6A,01,B,6,414.0,0.0,12.56,20.166,16.667,11.326,28.986,22.652,22.947,17.127,5.072,9.116,1.691,5.801,12.077,13.812
01B6B,01,B,6,389.0,0.0,15.938,19.728,18.766,11.224,28.278,23.129,19.794,17.347,3.599,8.844,1.799,5.782,11.825,13.946
01B6C,01,B,6,291.0,0.0,13.402,19.679,9.966,10.843,32.646,23.293,20.275,18.072,5.842,8.434,1.718,5.622,16.151,14.056
01B6D,01,B,6,359.0,0.0,18.942,19.741,19.777,10.356,22.284,22.977,19.499,19.094,5.85,8.414,2.507,5.502,11.142,13.916
01B6E,01,B,6,311.0,0.0,12.862,19.665,10.611,10.46,35.048,23.849,22.83,18.41,2.894,7.95,2.251,5.439,13.505,14.226
01B6F,01,B,6,446.0,0.0,11.211,20.0,12.108,10.588,33.408,24.314,24.215,18.824,5.381,7.843,3.812,5.49,9.865,12.941
01B6G,01,B,6,433.0,0.0,17.552,19.844,14.55,10.895,28.868,25.292,20.323,18.288,4.619,7.782,3.002,5.058,11.085,12.84
01B6H,01,B,6,579.0,0.0,12.608,19.512,15.371,10.366,34.888,25.0,19.516,18.902,3.454,7.622,2.418,5.488,11.744,13.11
01B6I,01,B,6,413.0,0.0,9.443,20.354,9.201,11.209,36.562,25.959,22.518,17.404,3.39,7.965,4.843,4.72,14.044,12.389
01B6J,01,B,6,500.0,0.0,14.6,20.629,17.4,10.49,31.4,25.175,17.4,18.182,3.8,8.392,3.4,4.545,12.0,12.587
01B6K,01,B,6,403.0,0.0,12.407,20.253,11.663,10.549,33.251,24.895,27.792,18.565,1.737,8.017,2.978,5.063,10.174,12.658
01B6L,01,B,6,328.0,0.0,16.463,20.089,14.329,10.714,34.146,25.0,19.207,18.304,5.183,8.036,3.049,4.911,7.622,12.946
01B6M,01,B,6,354.0,0.0,15.537,20.807,15.254,10.559,26.271,25.155,22.034,18.634,3.672,8.385,6.215,4.969,11.017,11.491
01B7A,01,B,7,525.0,0.0,12.381,21.3,11.619,12.635,38.857,23.466,21.333,16.245,3.429,9.025,2.476,4.693,9.905,12.635
01B7B,01,B,7,456.0,0.0,15.132,20.833,19.518,12.202,33.991,24.405,14.693,16.667,4.605,8.333,3.07,5.06,8.991,12.5
01B7C,01,B,7,450.0,0.0,17.333,21.003,8.444,12.226,42.222,24.451,17.111,16.614,3.111,8.464,2.667,5.016,9.111,12.226
01B7D,01,B,7,606.0,0.0,13.696,21.333,13.366,13.067,43.564,24.0,14.356,17.067,2.475,8.533,2.145,5.333,10.396,10.667
01B7E,01,B,7,484.0,0.0,11.364,21.49,11.983,13.181,41.942,24.069,18.595,16.905,2.686,8.596,3.306,5.158,10.124,10.602
01B7F,01,B,7,532.0,0.0,13.158,22.097,16.165,13.483,33.459,23.221,21.241,16.105,3.008,9.363,3.195,4.869,9.774,10.861
01B7G,01,B,7,450.0,0.0,16.667,21.961,18.889,13.333,29.111,22.745,18.889,15.686,3.111,9.804,4.0,5.098,9.333,11.373
01B7H,01,B,7,375.0,0.0,15.467,22.552,21.6,14.54,26.667,21.662,16.0,15.43,6.933,9.496,4.0,5.341,9.333,10.979
01B7I,01,B,7,344.0,0.0,18.314,22.581,24.419,13.71,24.128,22.581,12.5,15.726,4.942,9.677,4.942,4.839,10.756,10.887
01B7J,01,B,7,354.0,0.0,17.232,22.957,22.316,13.619,31.356,22.179,11.582,15.953,2.825,10.117,4.802,4.669,9.887,10.506
01B7K,01,B,7,223.0,0.0,17.937,22.594,19.731,13.389,26.906,22.594,12.556,15.9,4.484,10.042,4.933,5.021,13.453,10.46
01B7L,01,B,7,413.0,0.0,22.034,23.045,19.37,13.58,22.276,22.634,14.286,16.049,4.843,10.288,4.6,4.938,12.591,9.465
01B7M,01,B,7,394.0,0.0,20.812,22.509,18.782,13.653,24.112,22.878,12.944,15.867,7.614,11.07,2.538,4.797,13.198,9.225
01W100,01,W,1,428.0,1650.0,15.888,22.835,23.832,15.748,26.168,14.173,6.542,15.748,5.374,12.598,9.346,2.362,12.85,16.535
01W101,01,W,1,330.0,960.0,17.273,21.635,21.515,18.75,31.818,19.231,7.879,12.74,2.424,8.173,9.091,10.577,10.0,8.894
01W102,01,W,1,382.0,1240.0,14.66,19.681,21.466,16.312,23.822,22.518,15.183,11.702,6.806,10.106,8.901,12.766,9.162,6.915
01W103,01,W,1,276.0,1011.0,15.217,20.385,21.014,13.462,28.623,25.0,10.145,15.769,3.986,6.154,12.319,9.231,8.696,10.0
01W104,01,W,1,511.0,1257.0,18.982,20.505,20.548,13.565,29.354,24.921,10.568,12.303,2.935,6.625,8.806,14.669,8.806,7.413
01W105,01,W,1,383.0,997.0,20.366,20.734,20.888,11.009,26.11,25.688,12.01,16.881,6.266,8.44,7.05,10.642,7.311,6.606
01W106,01,W,1,576.0,1437.0,14.583,21.002,24.479,18.094,26.215,21.163,13.194,12.439,3.819,8.401,11.979,13.409,5.729,5.493
01W107,01,W,1,430.0,1084.0,12.093,15.098,21.395,12.611,29.767,23.979,14.884,20.959,6.047,9.414,8.605,11.723,7.209,6.217
01W108,01,W,1,359.0,1052.0,16.992,14.354,27.855,22.01,19.22,19.378,13.37,15.072,4.178,9.091,8.357,13.636,10.028,6.459
01W109,01,W,1,306.0,1080.0,22.549,26.667,30.392,20.69,12.745,7.356,11.438,13.793,12.092,14.483,2.941,6.207,7.843,10.805
01W110,01,W,1,542.0,1245.0,13.653,17.062,18.635,14.376,36.162,33.333,13.469,14.376,3.506,5.529,6.089,9.321,8.487,6.003
01W111,01,W,1,417.0,1032.0,16.067,18.876,13.909,10.643,37.17,32.932,15.108,13.855,3.118,6.024,5.995,11.446,8.633,6.225
01W112,01,W,1,493.0,1151.0,14.402,16.405,15.01,10.995,30.426,26.527,17.647,23.56,5.68,5.41,6.085,9.424,10.751,7.679
01W113,01,W,1,641.0,1456.0,18.097,20.69,15.133,10.837,33.385,33.128,15.601,15.517,3.9,4.803,5.304,8.867,8.58,6.158
01W114,01,W,1,544.0,1427.0,14.338,20.076,14.154,9.911,33.272,29.352,17.463,16.391,3.676,3.812,6.25,10.038,10.846,10.419
01W115,01,W,1,360.0,860.0,14.722,17.588,20.278,11.809,20.0,19.347,15.278,18.342,10.833,13.317,7.222,8.543,11.667,11.055
01W116,01,W,1,285.0,704.0,14.386,17.26,20.351,13.973,26.667,26.027,15.789,17.26,8.421,8.219,7.719,11.233,6.667,6.027
01W117,01,W,1,551.0,1319.0,12.886,19.499,14.156,11.421,38.475,35.376,17.786,15.042,3.993,5.432,5.263,8.635,7.441,4.596
01W118,01,W,1,530.0,1323.0,15.094,20.179,16.226,11.958,33.962,34.081,17.736,16.293,1.887,3.737,5.849,7.773,9.245,5.979
01W119,01,W,1,347.0,909.0,12.968,18.6,17.867,8.4,32.565,34.0,18.156,19.8,4.035,4.6,5.187,9.4,9.222,5.2
01W120,01,W,1,401.0,1011.0,12.219,17.254,13.716,12.801,33.666,29.128,14.963,15.955,8.978,7.236,5.985,9.276,10.474,8.349
01W121,01,W,1,403.0,1011.0,15.633,20.258,13.896,11.05,35.98,33.886,14.64,16.575,3.97,5.525,5.459,7.366,10.422,5.341
01W122,01,W,1,440.0,1108.0,13.864,16.832,18.182,13.366,31.591,29.868,19.545,15.842,2.5,5.941,8.409,11.881,5.909,6.271
01W123,01,W,1,384.0,920.0,13.281,15.694,17.969,16.097,33.333,29.98,14.844,13.682,1.562,4.829,9.375,14.085,9.635,5.634
01W124,01,W,1,369.0,1265.0,16.26,23.839,21.951,17.028,27.371,16.099,11.653,16.718,7.859,12.384,6.775,3.096,8.13,10.836
01W125,01,W,1,477.0,1466.0,18.658,21.302,18.239,16.42,26.415,23.373,14.046,15.089,6.289,7.101,6.289,10.059,10.063,6.657
01W200,01,W,2,313.0,851.0,19.489,16.667,33.227,16.898,7.668,8.565,14.058,25.0,11.502,17.824,6.709,7.87,7.348,7.176
01W201,01,W,2,414.0,1207.0,13.043,19.158,31.159,20.632,13.527,11.368,15.459,18.526,9.42,15.158,9.903,9.474,7.488,5.684
01W202,01,W,2,377.0,1136.0,17.241,18.55,31.034,20.469,10.875,9.382,13.793,21.109,9.019,15.352,10.08,8.316,7.958,6.823
01W203,01,W,2,454.0,1541.0,18.502,20.127,32.159,16.323,14.317,9.826,11.674,25.515,10.352,14.58,6.828,7.924,6.167,5.705
01W204,01,W,2,447.0,1550.0,14.318,23.142,31.991,18.75,17.45,8.615,15.213,17.905,7.606,13.851,8.277,10.473,5.145,7.264
01W205,01,W,2,448.0,1189.0,18.75,20.329,23.884,13.142,15.402,10.062,20.759,28.131,9.821,16.016,3.348,3.08,8.036,9.24
01W206,01,W,2,412.0,1291.0,18.689,16.206,22.816,14.917,17.476,13.26,18.447,26.151,7.767,13.444,7.767,4.42,7.039,11.602
01W207,01,W,2,356.0,1050.0,21.348,23.017,19.944,7.737,15.73,10.445,23.876,32.495,11.798,13.153,2.247,4.255,5.056,8.897
01W208,01,W,2,371.0,910.0,16.712,17.949,20.755,13.333,31.267,28.205,12.938,17.179,2.965,3.59,8.086,11.795,7.278,7.949
01W209,01,W,2,480.0,1157.0,11.667,18.608,14.792,11.003,32.917,27.023,20.625,20.227,4.792,6.958,5.417,8.414,9.792,7.767
01W210,01,W,2,443.0,1152.0,14.221,15.7,17.156,14.334,28.894,26.621,17.607,19.454,5.418,7.679,9.029,8.362,7.675,7.85
01W211,01,W,2,317.0,847.0,11.672,17.136,16.088,7.161,28.076,25.831,19.558,26.343,10.726,11.509,5.047,3.836,8.833,8.184
01W212,01,W,2,339.0,859.0,12.979,16.114,16.519,12.085,33.628,27.251,15.634,15.877,7.08,7.583,6.785,11.848,7.375,9.242
01W213,01,W,2,170.0,595.0,13.529,17.422,18.235,10.801,23.529,18.467,18.824,25.087,8.235,12.892,5.294,5.923,12.353,9.408
01W214,01,W,2,208.0,818.0,16.346,17.105,21.635,13.158,15.865,11.184,17.308,30.592,8.173,14.145,9.135,6.908,11.538,6.908
01W215,01,W,2,372.0,939.0,22.581,19.136,26.882,12.551,9.409,9.259,20.699,32.305,10.484,16.049,3.495,2.675,6.452,8.025
01W216,01,W,2,374.0,909.0,21.123,18.661,25.401,11.359,10.16,5.274,19.786,34.888,11.497,18.864,3.209,2.637,8.824,8.316
01W217,01,W,2,278.0,997.0,21.583,20.413,23.741,8.716,11.871,7.11,23.381,38.532,10.072,12.615,3.237,5.046,6.115,7.569
01W218,01,W,2,335.0,939.0,23.284,21.15,25.97,12.32,6.866,7.803,20.0,28.542,13.134,17.043,2.09,3.285,8.657,9.856
01W219,01,W,2,243.0,751.0,20.165,16.535,19.342,12.073,11.934,9.711,20.576,30.971,13.58,16.273,3.292,3.15,11.111,11.286
01W220,01,W,2,349.0,1119.0,18.625,22.989,25.788,8.736,19.484,12.414,20.057,31.494,4.871,14.943,4.011,5.057,7.163,4.368
01W221,01,W,2,529.0,1448.0,18.526,18.231,23.629,14.44,18.715,21.48,10.964,17.87,6.994,11.913,12.287,9.747,8.885,6.318
01W222,01,W,2,299.0,820.0,19.732,18.733,20.736,12.397,9.699,7.989,26.087,37.741,8.696,12.121,2.341,3.581,12.709,7.438
01W223,01,W,2,525.0,1535.0,19.048,21.23,21.143,9.722,23.429,15.278,16.571,32.54,8.381,14.484,4.0,3.175,7.429,3.571
01W224,01,W,2,441.0,1283.0,20.862,20.259,23.356,10.859,12.698,11.507,21.769,34.522,9.524,14.911,2.041,1.945,9.751,5.997
01W225,01,W,2,432.0,1324.0,21.296,19.761,27.778,11.584,12.269,5.792,18.056,33.901,9.722,15.332,2.778,4.089,8.102,9.54
01W226,01,W,2,192.0,687.0,15.104,16.287,21.875,7.166,12.5,9.121,24.479,36.156,10.417,19.218,1.562,2.932,14.062,9.121
01W227,01,W,2,553.0,1496.0,18.445,18.067,15.009,7.607,29.476,24.564,16.275,24.089,5.787,9.35,5.425,4.279,9.584,12.044
01W228,01,W,2,414.0,1190.0,23.188,25.267,24.879,15.302,24.396,21.352,8.937,14.057,5.072,9.075,9.179,8.363,4.348,6.584
01W229,01,W,2,369.0,1050.0,18.157,25.451,17.615,15.431,31.165,21.443,14.363,14.028,4.065,9.218,6.775,8.417,7.859,6.012
01W300,01,W,3,353.0,1194.0,13.598,22.754,10.765,9.381,26.346,19.96,22.096,21.158,5.099,8.383,5.099,4.391,16.997,13.972
01W301,01,W,3,332.0,960.0,15.361,18.859,12.048,10.67,28.313,25.31,17.47,20.099,6.627,10.67,5.723,3.97,14.458,10.422
01W302,01,W,3,389.0,1127.0,15.938,21.526,15.938,12.329,26.992,24.07,14.91,13.894,8.226,8.023,5.398,6.067,12.596,14.09
01W303,01,W,3,289.0,897.0,17.647,22.835,17.301,12.598,25.606,26.509,16.955,17.585,8.304,9.711,3.806,4.724,10.381,6.037
01W304,01,W,3,392.0,874.0,17.347,24.19,19.643,11.447,29.847,27.646,13.52,10.151,4.847,11.231,7.143,6.695,7.653,8.639
01W305,01,W,3,385.0,1027.0,18.701,21.25,21.818,14.821,30.13,25.357,13.506,13.571,5.455,9.643,3.377,7.321,7.013,8.036
01W306,01,W,3,478.0,1322.0,17.155,17.012,12.971,11.686,39.121,32.101,14.644,19.231,3.975,6.509,3.556,5.03,8.577,8.432
01W307,01,W,3,409.0,1146.0,18.337,25.57,24.205,17.59,25.672,22.313,11.736,9.935,4.645,10.098,6.846,7.492,8.557,7.003
01W308,01,W,3,493.0,1124.0,17.647,23.002,16.024,12.887,36.511,32.79,14.199,15.008,4.868,6.199,3.651,5.873,7.099,4.241
01W309,01,W,3,488.0,1260.0,15.574,23.613,17.213,13.371,34.221,26.458,12.705,14.225,4.918,8.535,5.943,6.259,9.426,7.539
01W310,01,W,3,324.0,921.0,18.519,22.936,22.531,13.073,28.704,30.734,14.506,12.615,4.012,8.486,5.247,5.734,6.481,6.422
01W311,01,W,3,382.0,1006.0,19.372,19.783,14.398,9.565,36.387,32.826,15.183,12.826,4.45,7.826,5.236,10.87,4.974,6.304
01W312,01,W,3,288.0,777.0,19.097,23.464,15.972,11.453,33.333,25.978,18.056,15.642,4.514,8.38,1.389,6.983,7.639,8.101
01W313,01,W,3,302.0,829.0,19.205,22.663,18.543,14.731,35.43,24.929,14.238,12.748,3.642,9.065,3.974,8.215,4.967,7.649
01W314,01,W,3,372.0,1060.0,19.892,25.094,30.376,18.539,19.624,16.105,14.516,12.921,3.226,12.172,5.645,6.742,6.72,8.427
01W315,01,W,3,280.0,792.0,21.071,20.69,17.143,16.976,30.0,24.403,12.5,12.997,8.571,6.631,3.929,6.366,6.786,11.936
01W316,01,W,3,376.0,1311.0,21.277,28.322,31.915,19.231,9.043,10.839,11.17,12.937,11.702,12.937,4.521,8.392,10.372,7.343
01W317,01,W,3,327.0,908.0,18.349,24.625,17.737,14.414,28.44,22.523,16.514,16.216,4.587,8.408,5.199,3.604,9.174,10.21
01W318,01,W,3,404.0,1056.0,20.05,24.236,24.257,15.886,23.02,19.756,13.861,10.998,4.703,9.165,7.178,12.016,6.931,7.943
01W319,01,W,3,351.0,973.0,19.088,22.334,21.937,14.085,28.49,25.151,10.826,13.28,6.838,8.451,5.413,10.865,7.407,5.835
01W320,01,W,3,282.0,557.0,21.986,20.988,28.014,16.667,30.142,27.16,6.738,8.951,3.901,9.568,4.965,13.58,4.255,3.086
01W321,01,W,3,431.0,1075.0,19.258,21.596,33.179,18.075,17.865,21.831,9.281,10.094,7.657,11.268,7.193,13.615,5.568,3.521
01W322,01,W,3,356.0,1074.0,23.315,23.908,32.865,19.77,15.73,15.172,8.146,10.575,5.618,11.954,8.146,13.103,6.18,5.517
01W323,01,W,3,447.0,1138.0,18.345,23.488,33.781,19.929,20.805,15.48,8.949,9.253,6.935,15.125,5.369,9.786,5.817,6.94
01W324,01,W,3,387.0,1497.0,19.638,19.118,29.716,20.588,15.762,17.437,10.594,12.185,6.718,9.874,10.853,13.235,6.718,7.563
01W325,01,W,3,351.0,1016.0,21.937,24.645,27.635,13.507,19.088,19.668,15.954,13.507,3.419,10.19,5.128,11.374,6.838,7.109
01W326,01,W,3,560.0,1503.0,20.179,23.138,18.75,14.58,28.036,22.662,13.571,15.848,6.25,9.667,6.25,5.705,6.964,8.399
01W327,01,W,3,565.0,1513.0,17.522,22.72,16.814,10.72,30.796,32.16,17.345,15.52,3.186,4.48,5.664,7.52,8.673,6.88
01W400,01,W,4,375.0,1208.0,11.2,19.503,18.933,11.663,29.6,20.076,16.0,18.738,7.733,9.751,3.467,5.354,13.067,14.914
01W401,01,W,4,345.0,911.0,11.594,19.133,12.754,7.653,32.464,24.49,18.841,15.561,7.246,12.5,2.899,4.847,14.203,15.816
01W402,01,W,4,438.0,1307.0,15.068,22.735,12.1,10.124,31.05,18.295,17.808,19.183,7.534,12.966,4.11,3.73,12.329,12.966
01W403,01,W,4,355.0,930.0,16.338,17.634,12.676,11.83,40.563,30.58,17.183,16.071,3.662,9.152,3.099,4.464,6.479,10.268
01W404,01,W,4,243.0,713.0,13.992,23.588,18.93,14.95,28.395,25.581,22.634,16.279,4.115,6.312,4.527,2.99,7.407,10.299
01W405,01,W,4,301.0,866.0,20.266,23.765,12.957,13.272,28.904,21.914,17.276,16.049,6.312,10.494,6.312,3.704,7.973,10.802
01W406,01,W,4,284.0,814.0,19.014,21.718,10.211,10.024,36.62,27.446,18.31,18.616,5.634,6.205,2.817,3.58,7.394,12.411
01W407,01,W,4,423.0,1140.0,13.712,19.298,20.331,14.737,35.461,21.053,13.239,14.386,4.965,11.053,2.6,7.018,9.693,12.456
01W408,01,W,4,387.0,963.0,19.38,21.341,12.661,11.179,35.917,30.081,15.762,17.683,3.101,6.504,4.134,4.878,9.044,8.333
01W409,01,W,4,378.0,952.0,17.196,25.751,16.931,8.155,28.836,22.961,19.312,19.528,5.82,7.725,1.852,5.794,10.053,10.086
01W410,01,W,4,506.0,1276.0,12.055,18.788,16.798,10.606,35.375,32.273,17.391,16.061,3.162,6.818,3.953,5.455,11.265,10.0
